Designator, "Mid X", "Mid Y", Layer, Rotation
C1, 41.5mm, 54mm, top, 90
C2, 21.5mm, 7.5mm, top, 0
C3, 21.5mm, 5.5mm, top, 0
C4, 16.5mm, 71mm, top, 0
C5, 49.5mm, 54mm, top, 90
C6, 16.5mm, 67mm, top, 180
C7, 19.25mm, 2.5mm, top, 0
C8, 25.5mm, 36.5mm, top, 0
C9, 16.5mm, 65mm, top, 180
C10, 27mm, 26mm, top, 0
C11, 50mm, 58.5mm, top, 0
C12, 21.5mm, 60.5mm, top, 0
C13, 17mm, 60.5mm, top, -90
C14, 17mm, 14.5mm, top, 180
C15, 27mm, 21mm, top, 0
C16, 17mm, 12mm, top, 180
C17, 27mm, 23.5mm, top, 0
C18, 30.5mm, 46mm, top, -90
C19, 27.5mm, 46mm, top, -90
C20, 34.5mm, 45mm, top, 0
C21, 34.5mm, 38.5mm, top, 0
C23, 47mm, 35mm, top, 0
C24, 47mm, 32mm, top, 0
C25, 54.5mm, 42mm, top, 90
C26, 76.5mm, 23mm, top, 90
Q1, 28.5mm, 31.5mm, top, 0
Q2, 33mm, 16.5mm, top, -90
Q3, 20mm, 39.5mm, top, 180
R1, 9mm, 64mm, top, -90
R2, 11.5mm, 69mm, top, 0
R3, 45.5mm, 53mm, top, 0
R4, 16.5mm, 69mm, top, 0
R6, 16.5mm, 63mm, top, 180
R7, 19mm, 60.5mm, top, 90
R9, 14.5mm, 22.5mm, top, 90
R10, 26.5mm, 58.5mm, top, 0
R11, 26.5mm, 60.5mm, top, 0
R12, 36.5mm, 52mm, top, 0
R13, 15.5mm, 39.5mm, top, -90
R14, 23mm, 52mm, top, 90
R15, 13.5mm, 18.5mm, top, 0
R16, 31.5mm, 68.5mm, top, -90
R17, 29.5mm, 70mm, top, 90
R18, 23.5mm, 41.5mm, top, 90
R19, 25.5mm, 41.5mm, top, -90
R20, 28mm, 41.5mm, top, -90
TH1, 27mm, 11mm, top, 90
U1, 17.5mm, 19mm, top, 90
U2, 45.mm, 58.5mm, top, 0
U3, 17mm, 6.5mm, top, 0
U5, 22.5mm, 13.5mm, top, 0
U6, 23mm, 18.5mm, top, -90
U7, 32mm, 42mm, top, 180
U8, 24mm, 66.5mm, top, 0
